surface_form_lemma_link_id	surface_form_id	lemma_id	lemma_subtlex_pos_id
20784	19922	1109	1167
20786	19924	1324	1386
20791	19929	621	673
20798	19936	346	387
20802	19940	1178	1238
20804	19942	3214	3298
20806	19944	477	522
20812	19950	1443	1509
20813	19951	1443	1509
20814	19952	126	153
20822	19960	638	690
20843	19981	1109	1167
20844	19982	887	942
20871	20008	1079	1136
20877	20014	1976	2047
20878	20015	1976	2047
20880	20017	504	549
20881	20017	2692	2774
20884	20020	2243	2320
20885	20021	304	343
20888	20024	3870	3961
20889	20025	1303	1365
20894	20030	1508	1574
20902	20038	989	1046
20906	20042	2582	2663
20915	20051	3484	3572
20921	20057	2927	3009
20931	20066	2678	2760
20932	20067	391	434
20933	20068	334	375
20936	20071	793	848
20937	20072	4375	4466
20944	20079	71	91
20946	20081	2290	2367
20948	20083	1994	2065
20957	20092	3514	3602
20963	20098	924	980
20965	20100	203	236
20973	20107	797	852
20974	20108	2212	2289
20975	20109	1262	1323
20978	20112	624	676
20980	20114	916	972
20982	20116	871	926
20983	20117	1235	1295
20986	20120	1406	1469
21007	20141	187	219
21008	20142	1560	1627
21009	20143	1603	1670
21011	20145	582	634
21018	20152	953	1010
21028	20162	360	402
21030	20164	1076	1133
21033	20167	1009	1066
21035	20169	1339	1401
21036	20170	1339	1401
21038	20172	2107	2182
21040	20174	1523	1589
21041	20175	711	764
21042	20176	1386	1449
21048	20182	2895	2977
21057	20190	717	771
21059	20192	1506	1572
21060	20192	309	349
21071	20203	3184	3268
21078	20210	127	154
21079	20211	2960	3042
21081	20212	793	848
21091	20222	1080	1138
21092	20223	347	388
21093	20224	577	629
21096	20226	1373	1436
21101	20230	2136	2211
21111	20240	127	154
21114	20243	203	236
21118	20247	3069	3152
21125	20254	1412	1476
21127	20256	3014	3096
21132	20261	1177	1237
21141	20270	3184	3268
21144	20273	292	330
21151	20279	329	370
21159	20285	87	108
21160	20286	923	979
21165	20291	372	414
21168	20294	143	171
21170	20296	2202	2279
21171	20296	501	546
21172	20297	726	780
21173	20298	726	780
21174	20299	924	980
21177	20302	326	367
21183	20308	1109	1167
21189	20313	1173	1233
21190	20314	1173	1233
21191	20315	3098	3181
21195	20319	1058	1115
21196	20320	1087	1145
21199	20323	1712	1779
21216	20339	1196	1256
21217	20340	6447	6545
21218	20340	2826	2908
21220	20342	574	626
21221	20343	1330	1392
21224	20346	1296	1358
21233	20355	1108	1166
21239	20361	554	603
21240	20362	1303	1365
