surface_form_id	nkjp_frequency	nkjp_frequency_rank	occurrence_pct	per_million
142	19196	1146	0.008238295487	82.382955
143	84966	211	0.036464628793	364.646288
144	56660	324	0.024316619205	243.166192
145	125833	132	0.054003408833	540.034088
146	183890	83	0.078919574756	789.195748
147	78076	232	0.033507666097	335.076661
148	63420	289	0.027217790152	272.177902
149	346078	47	0.148525360773	1485.253608
150	109339	159	0.046924723390	469.247234
151	60525	298	0.025975350819	259.753508
152	3822	6648	0.001640277420	16.402774
153	162838	96	0.069884744761	698.847448
154	9206	2608	0.003950914162	39.509142
155	232090	67	0.099605438605	996.054386
156	5594	4530	0.002400761875	24.007619
157	102040	174	0.043792231269	437.922313
158	19037	1160	0.008170057886	81.700579
159	118841	145	0.051002671073	510.026711
160	145147	106	0.062292346061	622.923461
161	45871	434	0.019686333208	196.863332
162	13046	1748	0.005598916593	55.989166
163	61259	295	0.026290359617	262.903596
164	6348	3962	0.002724354019	27.243540
165	78470	229	0.033676758014	336.767580
166	105557	167	0.045301612663	453.016127
167	394838	36	0.169451558310	1694.515583
168	95025	188	0.040781622661	407.816227
169	104553	168	0.044870728694	448.707287
170	98345	177	0.042206458097	422.064581
171	117349	148	0.050362353462	503.623535
172	219777	72	0.094321101643	943.211016
173	298695	54	0.128190126607	1281.901266
174	134691	120	0.057804972774	578.049728
175	139810	113	0.060001880182	600.018802
176	95662	185	0.041055002231	410.550022
177	37611	541	0.016141411312	161.414113
178	128464	127	0.055132547999	551.325480
179	145973	105	0.062646838250	626.468383
180	24428	890	0.010483698799	104.836988
181	129494	125	0.055574590317	555.745903
182	24626	883	0.010568673924	105.686739
183	115352	150	0.049505306364	495.053064
184	32246	655	0.013838928749	138.389287
185	47775	412	0.020503467747	205.034677
186	50599	380	0.021715436201	217.154362
187	252721	64	0.108459589167	1084.595892
188	46983	421	0.020163567245	201.635672
189	75394	238	0.032356639399	323.566394
190	65025	281	0.027906603668	279.066037
191	31599	674	0.013561257506	135.612575
192	28487	766	0.012225688869	122.256889
193	130351	124	0.055942386693	559.423867
194	67352	270	0.028905275975	289.052760
195	20538	1065	0.008814238003	88.142380
196	126532	131	0.054303396775	543.033968
197	33713	623	0.014468517177	144.685172
198	15133	1468	0.006494588748	64.945887
199	110205	158	0.047296382272	472.963823
200	42088	470	0.018062793313	180.627933
201	104145	169	0.044695628435	446.956284
202	16276	1358	0.006985126971	69.851270
203	69038	263	0.029628852042	296.288520
204	128254	128	0.055042422866	550.424229
205	35055	588	0.015044459694	150.444597
206	60259	300	0.025861192317	258.611923
207	14961	1488	0.006420771972	64.207720
208	300453	53	0.128944602720	1289.446027
209	127729	129	0.054817110033	548.171100
210	124817	135	0.053567374856	535.673749
211	53888	345	0.023126967450	231.269675
212	171299	90	0.073515929285	735.159293
213	29489	731	0.012655714503	126.557145
214	167912	93	0.072062339640	720.623396
215	50150	388	0.021522740084	215.227401
216	4368	5808	0.001874602765	18.746028
217	201794	79	0.086603386091	866.033861
218	2408	10278	0.001033434858	10.334349
219	38136	534	0.016366724144	163.667241
220	52222	365	0.022411974729	224.119747
221	157009	99	0.067383128571	673.831286
222	203006	78	0.087123536859	871.235369
223	67853	267	0.029120288792	291.202888
224	154860	100	0.066460848044	664.608480
225	5333	4754	0.002288749210	22.887492
226	20096	1092	0.008624546056	86.245461
227	10126	2348	0.004345748078	43.457481
228	7098	3515	0.003046229494	30.462295
229	56217	325	0.024126498092	241.264981
230	56790	322	0.024372410954	243.724110
231	85171	210	0.036552608089	365.526081
232	18933	1166	0.008125424487	81.254245
233	29816	723	0.012796052210	127.960522
234	89285	197	0.038318202361	383.182024
235	128560	126	0.055173748059	551.737481
236	39038	516	0.016753833049	167.538330
237	95907	184	0.041160148220	411.601482
238	56781	323	0.024368548449	243.685484
239	27978	781	0.012007242713	120.072427
240	27383	791	0.011751888170	117.518882
241	204861	77	0.087919642200	879.196422
242	29403	735	0.012618806115	126.188061
243	21870	1001	0.009385888846	93.858888
244	40060	502	0.017192442029	171.924420
245	3884	6553	0.001666885792	16.668858
246	58667	310	0.025177957976	251.779580
247	89567	196	0.038439227539	384.392275
248	17812	1238	0.007644327944	76.443279
250	78662	227	0.033759158135	337.591581
251	34268	609	0.014706705029	147.067050
252	21546	1020	0.009246838641	92.468386
253	119568	142	0.051314675700	513.146757
254	3434	7374	0.001473760507	14.737605
255	8792	2756	0.003773238900	37.732389
256	6330	3977	0.002716629008	27.166290
257	8428	2880	0.003617022003	36.170220
258	2724	9190	0.001169051725	11.690517
259	107335	163	0.046064672122	460.646721
260	72536	253	0.031130079257	311.300793
261	14404	1555	0.006181725786	61.817258
262	161421	97	0.069276614697	692.766147
263	22604	969	0.009700897644	97.008976
264	7051	3538	0.003026058631	30.260586
265	88763	199	0.038094177030	380.941770
266	51581	371	0.022136878490	221.368785
267	43036	457	0.018469643913	184.696439
268	37272	550	0.015995923597	159.959236
269	63919	287	0.027431944634	274.319446
270	95384	187	0.040935693722	409.356937
271	86336	204	0.037052587994	370.525880
272	68186	266	0.029263201503	292.632015
273	32908	644	0.014123037501	141.230375
274	89278	198	0.038315198190	383.151982
275	21359	1029	0.009166584356	91.665844
276	49709	394	0.021333477305	213.334773
277	11656	1998	0.005002374046	50.023740
278	47923	411	0.020566984507	205.669845
279	121792	140	0.052269143775	522.691438
280	90959	193	0.039036628420	390.366284
281	124348	138	0.053366095393	533.660954
282	31970	661	0.013720478574	137.204786
283	71290	258	0.030595336801	305.953368
284	18019	1224	0.007733165575	77.331656
285	76787	235	0.032954469448	329.544694
286	4597	5541	0.001972882077	19.728821
287	24925	872	0.010696994947	106.969949
288	6483	3866	0.002782291604	27.822916
289	63958	286	0.027448682159	274.486822
290	50615	379	0.021722302878	217.223029
291	37943	536	0.016283894855	162.838949
292	43500	453	0.018668777540	186.687775
293	90004	195	0.038626773649	386.267736
294	41951	472	0.018003997393	180.039974
295	35995	569	0.015447876956	154.478770
296	48610	403	0.020861822442	208.618224
297	17149	1287	0.007359790024	73.597900
298	12853	1783	0.005516087304	55.160873
299	55186	334	0.023684026606	236.840266
300	136506	116	0.058583911423	585.839114
